20230828033000,108050,108101,108048,108088,108024,108080,108022,108050,108011,108048,108010,108024,108013,108043,108002,108011,108001,108022,107993,108013,107970,108030,107963,108001,107966,107977,107948,107970,107992,107992,107959,107966,107992,108012,107983,107992,107948,107993,107935,107992,107957,107967,107946,107948,107962,107980,107950,107957,107992,107992,107952,107962,107967,108010,107966,107992,107966,107969,107962,107967,107968,107974,107964,107966,LONG
20230828031500,108024,108080,108022,108050,108011,108048,108010,108024,108013,108043,108002,108011,108001,108022,107993,108013,107970,108030,107963,108001,107966,107977,107948,107970,107992,107992,107959,107966,107992,108012,107983,107992,107948,107993,107935,107992,107957,107967,107946,107948,107962,107980,107950,107957,107992,107992,107952,107962,107967,108010,107966,107992,107966,107969,107962,107967,107968,107974,107964,107966,107930,107965,107925,107960,LONG
20230828030000,108011,108048,108010,108024,108013,108043,108002,108011,108001,108022,107993,108013,107970,108030,107963,108001,107966,107977,107948,107970,107992,107992,107959,107966,107992,108012,107983,107992,107948,107993,107935,107992,107957,107967,107946,107948,107962,107980,107950,107957,107992,107992,107952,107962,107967,108010,107966,107992,107966,107969,107962,107967,107968,107974,107964,107966,107930,107965,107925,107960,107925,107940,107915,107930,LONG
20230828024500,108013,108043,108002,108011,108001,108022,107993,108013,107970,108030,107963,108001,107966,107977,107948,107970,107992,107992,107959,107966,107992,108012,107983,107992,107948,107993,107935,107992,107957,107967,107946,107948,107962,107980,107950,107957,107992,107992,107952,107962,107967,108010,107966,107992,107966,107969,107962,107967,107968,107974,107964,107966,107930,107965,107925,107960,107925,107940,107915,107930,107970,107980,107920,107925,LONG
20230828023000,108001,108022,107993,108013,107970,108030,107963,108001,107966,107977,107948,107970,107992,107992,107959,107966,107992,108012,107983,107992,107948,107993,107935,107992,107957,107967,107946,107948,107962,107980,107950,107957,107992,107992,107952,107962,107967,108010,107966,107992,107966,107969,107962,107967,107968,107974,107964,107966,107930,107965,107925,107960,107925,107940,107915,107930,107970,107980,107920,107925,108030,108035,107950,107970,LONG
20230828021500,107970,108030,107963,108001,107966,107977,107948,107970,107992,107992,107959,107966,107992,108012,107983,107992,107948,107993,107935,107992,107957,107967,107946,107948,107962,107980,107950,107957,107992,107992,107952,107962,107967,108010,107966,107992,107966,107969,107962,107967,107968,107974,107964,107966,107930,107965,107925,107960,107925,107940,107915,107930,107970,107980,107920,107925,108030,108035,107950,107970,108078,108079,107995,108030,LONG
20230828041500,108026,108064,108014,108064,108063,108070,108018,108026,108088,108094,108038,108063,108050,108101,108048,108088,108024,108080,108022,108050,108011,108048,108010,108024,108013,108043,108002,108011,108001,108022,107993,108013,107970,108030,107963,108001,107966,107977,107948,107970,107992,107992,107959,107966,107992,108012,107983,107992,107948,107993,107935,107992,107957,107967,107946,107948,107962,107980,107950,107957,107992,107992,107952,107962,SHORT
20230828040000,108063,108070,108018,108026,108088,108094,108038,108063,108050,108101,108048,108088,108024,108080,108022,108050,108011,108048,108010,108024,108013,108043,108002,108011,108001,108022,107993,108013,107970,108030,107963,108001,107966,107977,107948,107970,107992,107992,107959,107966,107992,108012,107983,107992,107948,107993,107935,107992,107957,107967,107946,107948,107962,107980,107950,107957,107992,107992,107952,107962,107967,108010,107966,107992,SHORT
20230828034500,108088,108094,108038,108063,108050,108101,108048,108088,108024,108080,108022,108050,108011,108048,108010,108024,108013,108043,108002,108011,108001,108022,107993,108013,107970,108030,107963,108001,107966,107977,107948,107970,107992,107992,107959,107966,107992,108012,107983,107992,107948,107993,107935,107992,107957,107967,107946,107948,107962,107980,107950,107957,107992,107992,107952,107962,107967,108010,107966,107992,107966,107969,107962,107967,SHORT
20230828093000,108182,108196,108136,108149,108161,108196,108153,108182,108181,108186,108158,108161,108147,108191,108146,108181,108150,108186,108146,108147,108102,108154,108101,108150,108127,108139,108086,108102,108092,108135,108091,108127,108094,108111,108077,108092,108077,108104,108053,108094,108069,108080,108060,108077,108089,108091,108067,108069,108107,108114,108087,108089,108095,108113,108090,108107,108090,108104,108081,108095,108081,108097,108072,108090,LONG
20230828091500,108161,108196,108153,108182,108181,108186,108158,108161,108147,108191,108146,108181,108150,108186,108146,108147,108102,108154,108101,108150,108127,108139,108086,108102,108092,108135,108091,108127,108094,108111,108077,108092,108077,108104,108053,108094,108069,108080,108060,108077,108089,108091,108067,108069,108107,108114,108087,108089,108095,108113,108090,108107,108090,108104,108081,108095,108081,108097,108072,108090,108080,108091,108075,108081,LONG
20230828090000,108181,108186,108158,108161,108147,108191,108146,108181,108150,108186,108146,108147,108102,108154,108101,108150,108127,108139,108086,108102,108092,108135,108091,108127,108094,108111,108077,108092,108077,108104,108053,108094,108069,108080,108060,108077,108089,108091,108067,108069,108107,108114,108087,108089,108095,108113,108090,108107,108090,108104,108081,108095,108081,108097,108072,108090,108080,108091,108075,108081,108088,108097,108077,108080,LONG
20230828084500,108147,108191,108146,108181,108150,108186,108146,108147,108102,108154,108101,108150,108127,108139,108086,108102,108092,108135,108091,108127,108094,108111,108077,108092,108077,108104,108053,108094,108069,108080,108060,108077,108089,108091,108067,108069,108107,108114,108087,108089,108095,108113,108090,108107,108090,108104,108081,108095,108081,108097,108072,108090,108080,108091,108075,108081,108088,108097,108077,108080,108084,108100,108080,108088,LONG
20230828083000,108150,108186,108146,108147,108102,108154,108101,108150,108127,108139,108086,108102,108092,108135,108091,108127,108094,108111,108077,108092,108077,108104,108053,108094,108069,108080,108060,108077,108089,108091,108067,108069,108107,108114,108087,108089,108095,108113,108090,108107,108090,108104,108081,108095,108081,108097,108072,108090,108080,108091,108075,108081,108088,108097,108077,108080,108084,108100,108080,108088,108063,108091,108063,108084,LONG
