F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,label
-37,15,67,82,89,107,149,84,49,-5,2,-37,60,-2,23,12,197,81,148,23,194,224,226,160,ENTRY
-11,19,36,55,44,67,76,64,2,17,6,-11,12,6,18,-9,52,35,56,1,23,47,56,41,ENTRY
-31,22,31,53,55,44,67,76,-11,-36,-34,-31,-9,-19,-28,-42,1,-30,-16,-40,41,-1,22,-30,ENTRY
82,85,1,86,37,37,52,54,-11,46,-3,82,-43,37,-12,71,3,40,6,39,-41,35,3,85,ENTRY
-13,8,15,23,38,33,42,45,-5,-15,0,-13,4,-9,1,-18,18,-4,15,-9,18,-6,16,5,ENTRY
31,48,46,94,98,171,103,216,-4,16,20,31,-90,-18,59,27,-61,-43,-34,-59,-219,-181,-59,-30,ENTRY
99,106,45,151,94,98,171,103,31,98,41,99,27,114,61,130,-59,80,100,126,-30,55,7,40,ENTRY
199,216,6,222,91,93,162,123,-24,158,27,199,-14,156,27,175,-118,87,27,185,-86,25,-74,81,ENTRY
-26,49,27,76,69,132,218,222,3,-55,-62,-26,29,-93,-37,-23,207,-6,136,3,406,202,348,181,ENTRY
3,13,56,69,132,218,222,91,26,-38,25,3,204,49,198,29,403,257,410,207,379,415,437,406,ENTRY
-29,7,61,68,48,83,135,46,-8,-5,-25,-29,62,14,29,-37,178,88,155,33,141,169,147,149,ENTRY
-94,59,99,158,67,77,37,67,-9,-16,-107,-94,14,-22,-103,-103,32,19,-102,-80,12,13,-78,-62,ENTRY
62,76,3,79,70,67,65,115,-4,35,26,62,-5,18,6,58,48,49,35,57,-31,7,43,110,ENTRY
-105,2,120,122,189,45,67,66,145,-29,38,-105,149,148,71,40,186,154,99,44,239,201,145,81,ENTRY
22,24,5,29,79,14,50,19,41,-6,44,22,35,55,40,63,-9,18,39,57,-24,-1,-11,13,ENTRY
-114,8,116,124,58,68,66,63,16,0,-66,-114,29,-25,-81,-98,45,-12,-70,-85,87,42,-19,-69,ENTRY
17,33,18,51,68,46,90,83,36,27,44,17,7,42,37,53,-53,-20,19,24,-87,-85,-53,-36,ENTRY
36,44,4,48,35,57,63,56,5,16,3,36,-16,-6,3,41,-36,-32,-17,20,-55,-36,-28,0,ENTRY
12,26,3,29,46,40,30,34,-4,6,23,12,-2,-2,9,8,-12,-10,-9,10,-1,1,6,0,ENTRY
-27,9,53,62,63,54,76,79,28,0,1,-27,-7,15,7,1,33,13,27,-34,60,45,62,6,ENTRY
15,27,5,32,62,63,54,76,-27,-33,-3,15,1,-33,-2,-12,-34,-18,4,16,6,-20,24,-19,ENTRY
143,170,5,175,117,113,117,73,5,125,67,143,-62,54,-8,148,-83,65,7,81,-99,33,-69,60,ENTRY
-13,10,55,65,60,67,83,75,-24,-16,-21,-13,33,12,14,-37,49,53,71,20,48,71,81,36,ENTRY
-13,15,15,30,59,32,31,40,42,-8,21,-13,71,41,43,29,91,69,70,58,69,66,76,78,ENTRY
25,34,3,37,26,63,23,22,-10,18,7,25,-65,-38,-12,15,-80,-55,-69,-40,-80,-60,-75,-55,ENTRY
20,24,6,30,18,20,51,22,10,23,11,20,-6,20,10,30,23,8,29,14,5,29,21,43,ENTRY
-3,17,6,23,73,40,58,47,58,-7,43,-3,80,56,73,55,61,41,76,77,83,62,86,58,ENTRY
-34,13,34,47,23,73,40,58,-3,-6,-30,-34,55,-13,13,-37,77,50,43,21,58,35,46,43,ENTRY
56,59,4,63,35,27,31,37,24,58,30,56,-2,58,22,80,-32,27,-5,54,-53,6,-20,24,ENTRY
-201,47,201,248,126,112,36,71,91,-19,-141,-201,150,38,-98,-110,155,146,-66,-51,185,134,-43,-46,ENTRY
114,130,10,140,91,178,80,130,-21,50,1,114,-92,-1,37,93,-74,-6,-66,22,-101,-46,-56,40,ENTRY
-100,4,100,104,100,91,106,46,65,-19,-23,-100,100,52,39,-35,158,90,92,0,176,139,81,58,ENTRY
-60,4,92,96,78,83,104,63,3,-27,-45,-60,39,2,-11,-57,76,10,18,-21,100,77,44,16,ENTRY
-8,77,9,86,30,60,66,67,-6,-11,-67,-8,23,-10,-36,-14,7,4,-16,15,61,2,-17,-1,ENTRY
-50,9,67,76,86,30,60,66,-8,8,18,-50,-14,-3,-49,-58,15,-2,-18,-64,-1,12,2,-35,ENTRY
3,9,24,33,58,96,79,55,38,24,49,3,-47,-26,37,41,-97,-79,-33,-44,-109,-122,-100,-94,ENTRY
5,13,20,33,41,39,60,88,-2,-11,-3,5,-13,-4,2,3,30,0,27,-8,89,28,83,35,ENTRY
-29,0,50,50,33,41,39,60,5,1,-16,-29,3,-10,-19,-24,-8,-3,-14,-26,35,1,11,-37,ENTRY
101,101,9,110,62,113,62,82,-38,71,23,101,-115,-16,-13,63,-118,-60,-108,-14,-156,-58,-86,-17,ENTRY
-61,26,63,89,55,61,107,126,-31,-44,-78,-61,3,-44,-72,-92,31,-6,12,-58,134,30,67,-30,ENTRY
33,47,11,58,28,27,15,13,-5,38,8,33,-24,16,-15,28,-20,16,-27,9,-30,12,-33,13,ENTRY
-97,107,123,230,159,79,191,61,-43,-96,-167,-97,-81,-61,-212,-140,73,-60,-99,-178,117,88,-81,-24,ENTRY
29,71,1,72,74,133,134,109,43,-1,1,29,19,34,95,72,-64,-38,24,48,-62,-118,-81,-35,ENTRY
-54,14,98,112,133,102,79,110,105,21,42,-54,20,59,49,51,43,18,-15,-34,-41,-1,-3,-11,ENTRY
40,76,23,99,49,56,39,40,-18,23,-27,40,-60,-1,-44,22,-61,-25,-85,-20,-67,-31,-90,-21,ENTRY
-81,14,104,118,108,84,54,124,72,-4,-14,-81,26,37,3,-9,13,36,-28,-55,124,33,39,-68,ENTRY
34,49,17,66,192,157,117,78,122,39,165,34,-4,33,124,156,-73,-52,-1,30,-141,-93,-81,-39,ENTRY
34,35,9,44,84,71,37,28,-69,-32,8,34,-92,-64,-37,-35,-112,-69,-76,-58,-118,-94,-110,-78,ENTRY
-76,4,76,80,24,42,63,27,1,-14,-70,-76,24,-18,-56,-75,56,3,-14,-52,59,50,-3,-20,ENTRY
20,44,15,59,86,85,114,37,-38,-13,14,20,-22,-56,-30,-18,-90,-55,0,-2,-82,-75,-97,-70,ENTRY
-77,16,85,101,140,40,82,87,118,-11,28,-77,128,113,52,41,127,78,59,51,177,114,100,50,ENTRY
48,48,12,60,77,69,60,77,-21,-17,0,48,-57,-28,-19,27,-112,-53,-53,-9,-174,-123,-106,-64,ENTRY
-41,14,100,114,89,64,90,60,-42,-1,-26,-41,4,17,-33,-83,81,60,36,-37,129,128,74,40,ENTRY
123,123,13,136,137,84,83,114,-52,34,35,123,-44,33,-19,71,-107,12,-41,79,-148,-71,-93,16,ENTRY
76,84,6,90,101,117,43,37,84,67,78,76,-19,62,89,160,-2,44,-3,57,-15,45,-8,74,ENTRY
96,98,1,99,112,72,44,57,-85,0,13,96,-45,9,-18,11,-48,33,-22,51,-71,19,-23,48,ENTRY
