20230629003300,70,80,45,125,145,60,70,60,90,110,120,70,205,140,145,190,240,185,170,215,250,185,135,240,BUY
20230629006000,145,145,0,145,95,145,85,185,135,85,75,145,85,85,-25,220,45,-15,-35,120,-20,20,-120,110,SELL
20230630003400,-85,0,100,100,90,105,65,75,0,-10,50,-85,35,40,40,-35,45,10,40,-45,30,5,90,-45,SELL
20230630004800,-5,40,20,60,80,55,40,45,10,30,65,-5,75,70,110,60,100,80,95,105,80,65,75,90,BUY
20230707003300,-20,15,45,60,95,55,50,60,-60,-25,-80,-20,-100,-105,-75,-100,-80,-90,-105,-95,-95,-95,-120,-125,SELL
20230707004300,115,140,20,160,105,25,50,55,35,-20,-95,115,15,-120,-105,20,5,-105,-80,10,30,-75,-85,35,BUY
20230707012800,-75,50,85,135,40,65,65,55,-25,-120,-30,-75,-55,-125,-65,-105,-55,-125,-25,-140,-35,-115,10,-100,BUY
20230707013400,50,60,5,65,70,90,55,70,20,25,5,50,-20,5,-25,55,-25,-35,-50,25,-35,-30,-75,0,SELL
20230707022100,-25,15,85,100,210,80,105,75,45,155,195,-25,190,170,210,170,260,265,275,185,275,250,220,250,BUY
20230707022900,85,140,20,160,120,65,155,100,-15,-55,-70,85,-25,-120,-115,15,-15,-20,0,-30,70,10,40,85,SELL
20230707025300,0,15,35,50,70,75,125,130,25,45,0,0,30,55,10,0,-55,20,-65,10,-135,-55,-120,-65,SELL
20230707039000,10,30,10,40,85,190,90,70,-55,-10,-45,10,-65,85,65,-35,5,55,-10,75,-25,5,25,0,BUY
20230714006300,40,55,50,105,85,80,140,145,50,30,-35,40,-5,-30,-90,5,-5,30,40,-50,85,125,130,80,BUY
20230714013300,-45,5,70,75,95,40,65,80,-60,-40,-50,-45,-45,-80,-40,-95,-45,-55,-10,-85,-60,-55,-65,-55,SELL
20230714015700,-15,60,35,95,40,100,90,95,20,-35,15,-15,10,15,80,0,60,55,45,65,40,40,95,30,BUY
20230714022000,20,30,20,50,105,50,50,65,-40,15,-35,20,-45,-45,-75,-15,-85,-85,-75,-55,-55,-40,-30,-55,SELL
20230714024800,10,100,40,140,170,110,105,210,25,55,140,10,105,75,155,150,185,150,210,165,255,325,400,220,BUY
20230714031800,5,50,21,71,128,90,196,125,25,82,127,5,128,147,147,132,17,142,-8,152,3,57,72,-3,BUY
20230714040400,40,40,25,65,115,70,35,40,-40,10,-85,40,-80,-75,-140,-45,-80,-110,-135,-100,-95,-120,-135,-95,SELL
20230714041700,-75,15,85,100,140,40,80,85,-10,30,115,-75,115,55,125,40,80,60,125,50,115,100,175,50,BUY
20230714042400,75,85,5,90,60,75,70,60,70,40,50,75,55,40,30,125,40,20,-5,105,15,-15,-65,70,SELL
20230721004700,-25,5,45,50,65,45,45,105,-40,-25,-50,-25,-50,-55,-60,-75,-75,-80,-95,-85,-90,-35,-65,-120,SELL
20230721006700,15,35,10,45,50,55,75,55,-20,-15,-10,15,10,20,30,5,30,60,15,45,25,35,35,30,BUY
20230721013600,-45,30,70,100,70,75,130,135,25,-5,30,-45,25,0,75,-15,60,90,50,30,-15,20,-35,5,SELL
20230721017400,-35,10,35,45,50,40,40,100,-20,-15,20,-35,15,10,45,-15,25,20,60,10,55,110,100,25,BUY
20230721023800,25,60,5,65,55,85,40,65,10,0,30,25,-20,0,-25,55,-35,-60,-65,0,-90,-90,-100,-40,SELL
20230721026500,20,40,5,45,30,25,65,55,-5,-20,-20,20,0,-20,-10,0,15,35,50,10,40,50,25,70,BUY
20230721030400,-5,25,5,30,50,30,25,25,-15,5,-15,-5,-35,-35,-25,-20,-35,-40,-20,-30,-25,-30,-20,-25,SELL
20230721041600,-5,5,45,50,85,55,120,75,-25,10,-65,-5,-55,-50,-45,-70,-10,60,20,-50,0,25,5,15,SELL
20230728033500,-125,109,146,255,364,158,67,77,-339,-230,-356,-125,-434,-531,-450,-481,-450,-638,-459,-575,-456,-634,-436,-584,SELL
